time_sec	time_nanosec	x_mocap_0	x_mocap_1	x_mocap_2	x_mocap_3	error	latency
1612179015	43448939	-0.0444498	0.768717	0.120471	-0.0372987	0.000179203	1.5045
1612179015	53839915	-0.0443313	0.768739	0.120243	-0.037666	0.000179552	1.5416
1612179015	63487172	-0.0444357	0.768663	0.120031	-0.0376316	0.000182049	1.5484
1612179015	73529060	-0.0444505	0.768661	0.120066	-0.0375206	0.000181417	1.6431
1612179015	83582208	-0.044496	0.768629	0.119967	-0.0375657	0.000183063	1.4764
1612179015	93612206	-0.0443485	0.768719	0.120164	-0.0375855	0.000179355	1.47
1612179015	103606160	-0.0445063	0.768646	0.120041	-0.0376697	0.000183978	1.5399
1612179015	113607138	-0.0443717	0.768717	0.120185	-0.0376771	0.00018055	1.6929
1612179015	123606454	-0.0445348	0.76864	0.119992	-0.0375992	0.00018417	1.5105
1612179015	133519315	-0.0444226	0.768689	0.120162	-0.0376296	0.000181399	1.3245
1612179015	143792317	-0.0443903	0.768701	0.120122	-0.037594	0.00018036	1.3969
1612179015	153833871	-0.0443797	0.768708	0.120193	-0.0375397	0.000179545	1.3324
1612179015	163754260	-0.0443605	0.768735	0.120239	-0.0376343	0.000179864	1.3163
1612179015	173698250	-0.044403	0.768712	0.120203	-0.0376882	0.000181403	1.6175
1612179015	183607539	-0.0443746	0.768716	0.120178	-0.0376386	0.000180299	1.4943
1612179015	193680410	-0.0444215	0.768665	0.120086	-0.0375873	0.000181072	1.7511
1612179015	203617072	-0.0444255	0.768686	0.120154	-0.0376104	0.000181312	1.4331
1612179015	213532121	-0.0443762	0.76873	0.120239	-0.037564	0.000179646	1.4245
1612179015	223652961	-0.0443214	0.768727	0.120182	-0.0376441	0.000179022	1.195
1612179015	233603558	-0.0443258	0.76875	0.120282	-0.0376295	0.000178927	1.4697
1612179015	243584896	-0.0443224	0.768759	0.120273	-0.0376805	0.000179316	1.0781
1612179015	253487194	-0.0443894	0.768717	0.120188	-0.0377366	0.000181516	1.1359
1612179015	263649000	-0.044338	0.768736	0.120233	-0.0376571	0.000179503	1.7445
1612179015	273566635	-0.0444995	0.768671	0.120105	-0.0375614	0.000182822	1.3319
1612179015	283548444	-0.0444257	0.768694	0.120145	-0.0376578	0.000181756	1.4747
1612179015	293816920	-0.0443634	0.768752	0.120513	-0.0373439	0.000177271	1.561
1612179015	303737891	-0.0443778	0.768723	0.120173	-0.0376754	0.000180722	1.1494
1612179015	313494339	-0.0444446	0.768669	0.12005	-0.0376339	0.000182127	1.1543
1612179015	323574093	-0.0444375	0.76869	0.120143	-0.0377113	0.000182518	0.9787
1612179015	333531139	-0.0443939	0.768708	0.120188	-0.0376622	0.000180958	1.2771
1612179015	343562891	-0.0443747	0.768717	0.120173	-0.0376632	0.000180524	1.1371
1612179015	353703336	-0.0443603	0.768724	0.120217	-0.0375618	0.000179243	0.9914
1612179015	363513599	-0.0443903	0.768704	0.120139	-0.0375562	0.00018002	1.0424
1612179015	373609305	-0.0443434	0.768749	0.120261	-0.0376359	0.000179451	1.4009
1612179015	383527231	-0.0444071	0.768707	0.120196	-0.0376019	0.000180761	1.156
1612179015	393546631	-0.0444209	0.768672	0.1201	-0.0375689	0.000180894	1.0153
1612179015	403703605	-0.0443419	0.768782	0.120585	-0.0373327	0.000176659	1.0853
1612179015	413531370	-0.0444654	0.768651	0.120041	-0.0375343	0.000181784	1.0459
1612179015	423569726	-0.0444019	0.768714	0.120187	-0.0376356	0.000180945	1.4865
1612179015	433530641	-0.0443736	0.768701	0.120164	-0.0375404	0.00017942	0.9748
1612179015	443551283	-0.0444893	0.768661	0.120083	-0.0376723	0.000183528	0.942
1612179015	453613808	-0.044397	0.768713	0.120189	-0.0376924	0.000181309	1.1286
1612179015	463450812	-0.0444384	0.768694	0.120144	-0.0376731	0.000182216	1.4473
1612179015	473516147	-0.0443633	0.768737	0.12026	-0.0376668	0.000180194	1.3839
1612179015	483604176	-0.0443729	0.768711	0.120181	-0.0376772	0.000180575	1.2627
1612179015	493567906	-0.0443999	0.768687	0.120099	-0.0375484	0.000180221	1.3428
1612179015	503476753	-0.0443444	0.768721	0.120192	-0.037676	0.000179851	1.4218
1612179015	513771071	-0.0443423	0.768743	0.120258	-0.0376173	0.000179249	1.4428
1612179015	523589035	-0.044435	0.76867	0.120094	-0.0374999	0.000180675	1.3357
1612179015	533549930	-0.0444907	0.768645	0.120019	-0.0376069	0.00018307	1.419
1612179015	543792380	-0.0444108	0.768705	0.120171	-0.0375383	0.000180344	1.4618
1612179015	553562732	-0.0444486	0.768687	0.120108	-0.0376588	0.000182389	1.4473
1612179015	563427379	-0.0443939	0.768687	0.120134	-0.037657	0.000180945	1.621
1612179015	573601701	-0.044418	0.768707	0.120165	-0.0376799	0.000181754	1.5343
1612179015	583459766	-0.0443982	0.768712	0.120179	-0.0377652	0.000181995	1.6236
1612179015	593617200	-0.0444638	0.768675	0.120105	-0.0375934	0.000182192	1.267
1612179015	603572239	-0.044475	0.768663	0.120064	-0.0376625	0.000183113	1.3722
1612179015	613493794	-0.0444139	0.768709	0.120164	-0.0375994	0.000180959	1.3446
1612179015	623487380	-0.0444319	0.768714	0.120417	-0.0372958	0.000178617	1.3682
1612179015	633723298	-0.044413	0.768695	0.120121	-0.0375835	0.000180835	1.4623
1612179015	643644026	-0.0444473	0.768701	0.120151	-0.0377267	0.000182916	1.3627
1612179015	653443068	-0.0443638	0.768732	0.120242	-0.0375915	0.000179569	1.3542
1612179015	663566637	-0.0443443	0.768749	0.120244	-0.0376363	0.000179497	1.4807
1612179015	673587737	-0.0444397	0.76868	0.120096	-0.0376335	0.000181949	1.5612
1612179015	683499499	-0.0443987	0.768696	0.120132	-0.037591	0.000180521	1.3412
1612179015	693647929	-0.044406	0.768707	0.120175	-0.0375735	0.00018052	1.2519
1612179015	703679890	-0.0443868	0.768705	0.120144	-0.0375758	0.000180093	1.3446
1612179015	713543578	-0.0443989	0.768688	0.120135	-0.0375687	0.000180316	1.728
1612179015	723665167	-0.0444965	0.768652	0.120027	-0.0376241	0.000183368	1.4347
1612179015	733663392	-0.0443137	0.768766	0.120295	-0.0376747	0.000179037	0.9566
1612179015	743636051	-0.0443817	0.768707	0.120158	-0.0376362	0.000180466	0.9696
1612179015	753602710	-0.0444456	0.768709	0.120167	-0.0376392	0.000182106	1.1146
1612179015	763669725	-0.0444474	0.768671	0.120073	-0.0376628	0.000182415	1.0518
1612179015	773773312	-0.0443872	0.7687	0.120132	-0.0376162	0.000180456	0.9677
1612179015	783527772	-0.0444335	0.768694	0.120137	-0.0376626	0.000182011	1.1489
1612179015	793664359	-0.0443464	0.768722	0.12021	-0.0376008	0.000179228	1.2036
1612179015	803818795	-0.0444937	0.768642	0.12	-0.0375889	0.000182872	1.3467
1612179015	813563097	-0.0444342	0.768667	0.120067	-0.0377435	0.000181901	1.2328
1612179015	823633259	-0.0444785	0.768664	0.120077	-0.0375517	0.000180981	1.7331
1612179015	833509802	-0.044495	0.768635	0.120004	-0.0376495	0.000184975	1.4321
1612179015	843558694	-0.0443203	0.76877	0.120279	-0.0376963	0.000184487	1.6048
1612179015	853592455	-0.0443948	0.76871	0.119999	-0.0374623	0.000189206	1.5167
1612179015	863759135	-0.0444624	0.768665	0.11978	-0.0374392	0.000196756	1.6107
1612179015	873757437	-0.0443609	0.768757	0.120094	-0.036919	0.000195381	1.4882
1612179015	883618230	-0.0443298	0.768735	0.119604	-0.0369968	0.000202584	1.3839
1612179015	893559077	-0.0442244	0.768723	0.119367	-0.0365895	0.000202853	1.4868
1612179015	903495194	-0.0438238	0.768877	0.119288	-0.036029	0.00019612	1.4718
1612179015	913626753	-0.0437078	0.768925	0.119507	-0.0353674	0.00019306	1.4779
1612179015	923731786	-0.0435298	0.769003	0.119417	-0.0351091	0.00019431	1.5378
1612179015	933558020	-0.0432429	0.769171	0.119515	-0.0348029	0.00018966	1.7216
1612179015	943798945	-0.0430928	0.769467	0.120003	-0.0341676	0.00018626	1.6144
1612179015	953737507	-0.0426844	0.769657	0.119556	-0.0337058	0.000176826	1.5247
1612179015	963529718	-0.0425478	0.769837	0.119588	-0.0333403	0.000175587	1.5673
1612179015	973650448	-0.0424929	0.769939	0.119103	-0.0333593	0.000178182	1.5674
1612179015	983558588	-0.0424068	0.770113	0.119116	-0.0330516	0.00017671	1.4872
1612179015	993649846	-0.0423386	0.770297	0.119337	-0.0324638	0.000172109	1.7334
1612179016	3613247	-0.0422704	0.770591	0.119164	-0.0320545	0.000168973	1.4305
1612179016	13564012	-0.0421741	0.770806	0.119266	-0.0318483	0.000166499	1.4004
1612179016	23535111	-0.0420471	0.770977	0.119303	-0.0316362	0.00016253	1.6674
1612179016	33665361	-0.0419859	0.77116	0.119372	-0.0315803	0.000161205	1.6227
1612179016	43596915	-0.0420041	0.771311	0.119328	-0.0314246	0.000161305	1.6643
1612179016	53455784	-0.0420279	0.771797	0.119908	-0.0311671	0.000160193	1.4759
1612179016	63651479	-0.0421465	0.771887	0.119478	-0.0314205	0.000163	1.3227
1612179016	73658997	-0.0422858	0.771886	0.119328	-0.0313002	0.000163342	1.4509
1612179016	83557275	-0.0423737	0.77216	0.119452	-0.0313414	0.000163679	1.2527
1612179016	93708533	-0.0425069	0.772124	0.118918	-0.0316052	0.000166875	1.4414
1612179016	103701194	-0.0427089	0.772414	0.118892	-0.0314678	0.000168317	1.4554
1612179016	113676506	-0.0427423	0.772597	0.118904	-0.0313849	0.0001662	1.7114
1612179016	123878200	-0.0428497	0.772739	0.118882	-0.0313902	0.000166102	1.4912
1612179016	133520379	-0.042932	0.772892	0.118858	-0.0311959	0.00016607	1.5207
1612179016	143706681	-0.0430921	0.773057	0.119067	-0.0308328	0.000165796	1.417
1612179016	153779058	-0.0432389	0.773357	0.118801	-0.0304583	0.000167132	1.0802
1612179016	163674590	-0.0432784	0.773525	0.118702	-0.030326	0.000165573	1.4429
1612179016	173768121	-0.0432053	0.773758	0.118704	-0.0301198	0.000162542	1.5349
1612179016	183886030	-0.0432293	0.773954	0.118698	-0.0297365	0.000162425	1.5854
1612179016	193637590	-0.0433002	0.774094	0.118584	-0.029594	0.000165273	1.4932
1612179016	203585993	-0.0433645	0.774229	0.118456	-0.0292455	0.000167829	1.6186
1612179016	213638470	-0.0433961	0.774595	0.118482	-0.0286622	0.000168724	1.6111
1612179016	223598376	-0.0433367	0.774823	0.118696	-0.0282444	0.000168005	1.5121
1612179016	233560336	-0.0433268	0.774974	0.118713	-0.028201	0.000170215	1.4472
1612179016	243561183	-0.0433191	0.775131	0.118726	-0.0280632	0.00017094	1.4053
1612179016	253593553	-0.0429913	0.775709	0.119522	-0.0282624	0.000164605	1.4537
1612179016	263546202	-0.0428858	0.77587	0.119527	-0.028507	0.000163311	1.2978
1612179016	273691597	-0.0426321	0.775952	0.119223	-0.0289986	0.00015981	1.3489
1612179016	283855876	-0.0426166	0.776077	0.119121	-0.0295266	0.000161898	1.3609
1612179016	293647297	-0.0424829	0.776242	0.11877	-0.0303226	0.000162456	1.5134
1612179016	303541869	-0.0424072	0.776638	0.119047	-0.0310417	0.000162503	1.5977
1612179016	313621557	-0.0422444	0.776873	0.119149	-0.0315503	0.000159898	1.2828
1612179016	323838944	-0.0423301	0.776983	0.118945	-0.0321399	0.000162074	1.2244
1612179016	333599802	-0.0422459	0.777201	0.118984	-0.0327517	0.000160444	1.4846
1612179016	343654046	-0.0422206	0.777358	0.118909	-0.0331231	0.000160146	1.3737
1612179016	353796878	-0.042112	0.777681	0.118542	-0.0341809	0.0001631	1.4408
1612179016	363547241	-0.0422105	0.777805	0.118456	-0.0345416	0.000168249	1.429
1612179016	373628703	-0.0423361	0.777971	0.11869	-0.0344047	0.000170839	1.3726
1612179016	383583450	-0.0424099	0.778117	0.118664	-0.0344292	0.00017391	1.2127
1612179016	393667791	-0.0424395	0.778319	0.118768	-0.034324	0.0001737	1.5064
1612179016	403696977	-0.0424883	0.778629	0.118946	-0.0340741	0.000174638	0.9967
1612179016	413615962	-0.0425457	0.778756	0.118941	-0.0339367	0.000176964	1.324
1612179016	423611473	-0.0425126	0.778947	0.119078	-0.0337361	0.000177307	1.3392
1612179016	433779331	-0.0425842	0.779047	0.119046	-0.0335187	0.000183079	1.1811
1612179016	443647917	-0.0425051	0.779252	0.119169	-0.0332359	0.00018363	1.3146
1612179016	453589308	-0.042363	0.779569	0.119174	-0.0324507	0.00017866	1.2282
1612179016	463637247	-0.0423323	0.779696	0.11872	-0.0324417	0.000183567	1.4025
1612179016	473632934	-0.0422426	0.779905	0.118815	-0.0321584	0.000182441	1.0672
1612179016	483627435	-0.0422894	0.780011	0.118632	-0.0319544	0.000187929	1.3107
1612179016	493718510	-0.0420996	0.7803	0.11914	-0.0311382	0.000179642	1.3737
1612179016	503638085	-0.0417481	0.78092	0.119657	-0.0303726	0.000169906	1.4956
1612179016	513617223	-0.0416802	0.781114	0.119527	-0.030214	0.000171382	1.8219
1612179016	523731618	-0.0413983	0.78124	0.119177	-0.0302048	0.000167418	1.4773
1612179016	533499887	-0.041421	0.781536	0.11946	-0.0298444	0.000169259	1.4619
1612179016	543637705	-0.0411765	0.781653	0.119123	-0.029912	0.000165036	1.5077
1612179016	553597006	-0.0411819	0.782102	0.119354	-0.0297192	0.000166357	1.4608
1612179016	563624689	-0.0410529	0.782298	0.119407	-0.0297273	0.000163033	1.5038
1612179016	573595289	-0.0409025	0.782571	0.119667	-0.0298026	0.000159821	1.5479
1612179016	583592365	-0.0408071	0.782779	0.119754	-0.0297799	0.000155911	1.3642
1612179016	593560192	-0.0408618	0.78291	0.119722	-0.0298016	0.000156069	1.6046
1612179016	603597404	-0.040954	0.783066	0.119362	-0.029997	0.000156643	1.5462
1612179016	613572466	-0.0410283	0.783181	0.119308	-0.030129	0.00015652	1.4571
1612179016	623627223	-0.0409926	0.783396	0.119487	-0.0299943	0.000152463	1.5593
1612179016	633547417	-0.0410567	0.783541	0.119545	-0.0299981	0.000150907	1.2856
1612179016	643601900	-0.0412984	0.783583	0.119383	-0.0301012	0.000152455	1.4566
1612179016	653595935	-0.0414389	0.783909	0.119519	-0.0299402	0.000152777	1.4245
1612179016	663562285	-0.0415375	0.784017	0.119388	-0.0299301	0.000151488	1.4575
1612179016	673738829	-0.0417643	0.784297	0.119729	-0.0298049	0.000153155	1.5579
1612179016	683667267	-0.0418264	0.78442	0.119592	-0.029755	0.000150014	1.4532
1612179016	693666116	-0.0419855	0.784486	0.119104	-0.0302487	0.000151626	1.6028
1612179016	703624995	-0.0420718	0.784621	0.118539	-0.0304293	0.000151299	1.5342
1612179016	713665064	-0.0421968	0.784788	0.118755	-0.0300791	0.000150065	1.604
1612179016	723646190	-0.0425031	0.784842	0.11851	-0.0301735	0.000155077	1.5301
1612179016	733580029	-0.042604	0.785021	0.118496	-0.0303285	0.000155225	1.5734
1612179016	743746912	-0.0428158	0.78511	0.118351	-0.0304714	0.00015876	1.5015
1612179016	753633355	-0.0429328	0.785424	0.118431	-0.0309301	0.000161956	1.5273
1612179016	763567287	-0.0428676	0.785586	0.118295	-0.0314688	0.000162667	1.3159
1612179016	773681150	-0.0428908	0.78574	0.118363	-0.0317725	0.000164366	1.3547
1612179016	783602139	-0.0429161	0.785938	0.118633	-0.0320839	0.000167579	1.3812
1612179016	793581508	-0.0430047	0.786047	0.118634	-0.0324101	0.000173556	1.2222
1612179016	803688321	-0.043038	0.786189	0.118759	-0.0326686	0.000177803	1.3347
1612179016	813556240	-0.0431096	0.786754	0.119995	-0.0326103	0.000178709	1.597
1612179016	823598514	-0.0430478	0.786962	0.120167	-0.0329805	0.000180622	1.4526
1612179016	833865837	-0.0429588	0.787146	0.120269	-0.0332479	0.000182124	1.1764
1612179016	843622747	-0.0428985	0.787319	0.120259	-0.0334349	0.000182873	1.1231
1612179016	853638496	-0.0428491	0.787467	0.11967	-0.0339446	0.000187755	1.0938
1612179016	863698926	-0.0427116	0.787673	0.119692	-0.0339898	0.000185742	1.3362
1612179016	873699081	-0.0426901	0.787797	0.119519	-0.0339189	0.000185972	1.832
1612179016	883753221	-0.0425222	0.788015	0.119505	-0.0339384	0.000182784	1.5699
1612179016	893764950	-0.0424635	0.788175	0.119392	-0.0338597	0.000182184	1.4647
1612179016	903653634	-0.0424815	0.788441	0.118731	-0.0339557	0.000185729	1.5356
1612179016	913535444	-0.0422678	0.788722	0.118834	-0.0336326	0.000179937	1.4576
1612179016	923654325	-0.0422867	0.788861	0.118727	-0.033414	0.000181102	1.5227
1612179016	933571863	-0.0422687	0.789067	0.118999	-0.0328499	0.000176593	1.8431
1612179016	943633999	-0.042211	0.789257	0.119044	-0.0326054	0.00017413	1.5407
1612179016	953624570	-0.0421921	0.789532	0.119013	-0.0321352	0.000171165	1.5213
1612179016	963602997	-0.0423132	0.789586	0.118841	-0.0319972	0.000173195	1.4802
1612179016	973610949	-0.042173	0.78975	0.119028	-0.0318276	0.000166702	1.8454
1612179016	983627893	-0.0421609	0.789853	0.119146	-0.0317019	0.000162292	1.4471
1612179016	993781156	-0.0422465	0.789868	0.11912	-0.0315278	0.000161016	1.303
1612179017	3813388	-0.0423467	0.789915	0.118922	-0.0315542	0.000162398	1.6027
1612179017	13692426	-0.0424597	0.789914	0.118897	-0.0313964	0.000162402	1.4479
1612179017	23802356	-0.0426447	0.789895	0.118794	-0.0312553	0.00016535	1.4914
1612179017	33562132	-0.0428371	0.78987	0.118726	-0.0310878	0.000168938	1.4734
1612179017	43513620	-0.0428866	0.789889	0.118723	-0.0309757	0.000169577	1.7411
1612179017	53599974	-0.0431432	0.789815	0.118516	-0.0309194	0.000176187	1.3022
1612179017	63706511	-0.0430099	0.789864	0.118646	-0.030704	0.000171361	1.3623
1612179017	73571269	-0.0429746	0.78987	0.118671	-0.0306277	0.000169931	1.6135
1612179017	83568501	-0.0428781	0.789886	0.118731	-0.0306001	0.000167244	1.5122
1612179017	93604351	-0.0426518	0.789958	0.118883	-0.0306417	0.000162973	1.4166
1612179017	103545758	-0.0424638	0.789968	0.118994	-0.0306191	0.000159916	1.126
1612179017	113828421	-0.0423008	0.790015	0.119068	-0.0306317	0.000159171	2.4063
1612179017	123578835	-0.0424651	0.789925	0.118872	-0.030719	0.000166578	1.4773
1612179017	133600741	-0.0422999	0.790031	0.119085	-0.0307596	0.000164418	1.4348
1612179017	143696084	-0.0423691	0.789994	0.119041	-0.0309441	0.000167708	1.508
1612179017	153721568	-0.0422514	0.79007	0.11916	-0.0310893	0.000165307	1.294
1612179017	163548049	-0.042289	0.790016	0.119068	-0.0312548	0.000167799	1.2789
1612179017	173722030	-0.0421677	0.79007	0.119121	-0.0313929	0.000165392	1.1417
1612179017	183634138	-0.0420463	0.790103	0.119243	-0.0315305	0.000164272	1.11
1612179017	193646290	-0.0421261	0.790055	0.119094	-0.0316021	0.00016859	1.3471
1612179017	203617422	-0.0420863	0.79005	0.119062	-0.0317561	0.000170369	1.4411
1612179017	213570792	-0.0419693	0.790146	0.119478	-0.0314267	0.000165412	1.6241
1612179017	223670589	-0.0419507	0.790146	0.119432	-0.0315542	0.000167522	1.2362
1612179017	233721707	-0.0419059	0.790147	0.119413	-0.0316633	0.000167517	1.0228
1612179017	243621856	-0.0417773	0.790208	0.119511	-0.0317207	0.000165934	1.031
1612179017	253545394	-0.0416812	0.790211	0.11942	-0.0316521	0.000164551	1.4604
1612179017	263669124	-0.0415134	0.790284	0.119513	-0.0317295	0.000162057	1.122
1612179017	273616009	-0.0414649	0.790283	0.119499	-0.0316524	0.000163719	1.3405
1612179017	283545952	-0.0414122	0.790295	0.119494	-0.0316044	0.000165649	1.2823
1612179017	293932325	-0.0413442	0.790332	0.119507	-0.0317751	0.000168916	1.0643
1612179017	303608217	-0.0412019	0.790402	0.119591	-0.0316575	0.000168119	1.2655
1612179017	313689517	-0.0412389	0.790336	0.119426	-0.0315782	0.000170996	1.3862
1612179017	323579846	-0.0410613	0.790419	0.119589	-0.0315431	0.000168469	1.1733
1612179017	333625562	-0.0409419	0.790442	0.119612	-0.0315442	0.000167511	1.2443
1612179017	343634662	-0.0409175	0.790411	0.119481	-0.0316177	0.000170369	1.298
1612179017	353604301	-0.0404904	0.790578	0.119859	-0.0315035	0.00016397	1.9742
1612179017	363632805	-0.0405213	0.790542	0.119734	-0.0315238	0.000169199	1.4439
1612179017	373690685	-0.0404711	0.790719	0.120166	-0.0313241	0.000171039	1.4376
1612179017	383558873	-0.0403554	0.790787	0.120317	-0.0312134	0.000170609	1.4008
1612179017	393698286	-0.0404213	0.790735	0.120187	-0.0311715	0.000175381	1.631
1612179017	403673706	-0.0401003	0.790681	0.119936	-0.0314701	0.000170678	1.4977
1612179017	413577871	-0.0399219	0.790738	0.120101	-0.0314077	0.000167814	1.2861
1612179017	423805961	-0.0396978	0.790848	0.120339	-0.0312954	0.000163913	1.5483
1612179017	433569330	-0.0397631	0.790779	0.120142	-0.0313391	0.000168184	1.4265
1612179017	443814884	-0.0397364	0.790748	0.119825	-0.0316676	0.000172222	1.5208
1612179017	453685953	-0.0396166	0.790752	0.119756	-0.0316338	0.00017118	1.2869
1612179017	463576209	-0.0395326	0.790836	0.120197	-0.0313873	0.00016968	1.4524
1612179017	473600298	-0.0395147	0.790818	0.120143	-0.0313956	0.000170815	1.3741
1612179017	483614755	-0.0394966	0.790776	0.119753	-0.0315749	0.000173169	1.3126
1612179017	493669571	-0.0393477	0.790845	0.119919	-0.0315695	0.000170732	1.0796
1612179017	503538235	-0.0391633	0.790937	0.120325	-0.031376	0.000167865	1.3401
1612179017	513660842	-0.0392682	0.790867	0.120166	-0.0312583	0.000171388	1.5362
1612179017	523680212	-0.0391843	0.790899	0.120207	-0.031295	0.000172078	1.4575
1612179017	533681960	-0.039272	0.790838	0.120074	-0.0312654	0.000175453	1.5351
1612179017	543663430	-0.0391481	0.790879	0.120146	-0.0311941	0.00017417	1.3578
1612179017	553678199	-0.0390391	0.79088	0.120092	-0.0311808	0.000172351	1.2982
1612179017	563556925	-0.0388006	0.790958	0.120252	-0.0311833	0.000168905	1.2098
