time_sec	time_nanosec	joint_velocity_0	joint_velocity_1	joint_velocity_2	joint_velocity_3
1612524849	523693601	0.40552	0.0881225	0.228857	0.0579105
1612524849	533652010	0	0	0	0
1612524849	543692656	-0.337156	0.26989	-0.0101519	-0.0844119
1612524849	553727717	1.08237	1.14953	1.19192	1.1563
1612524849	563913966	1.0929	1.37894	1.32113	1.4298
1612524849	573651522	-0.602243	-0.3341	-0.545587	-0.253491
1612524849	583657683	-1.74556	-1.76837	-1.94102	-1.78919
1612524849	593689801	0.242045	-0.314225	-0.102121	-0.103624
1612524849	603697772	-0.36659	-0.357053	-0.39294	-0.362572
1612524849	613633182	1.35716	0.752613	1.10815	1.09202
1612524849	623656775	0	0	0	0
1612524849	633739522	0.0116647	0.0553325	0.0381489	0.0542653
1612524849	643657651	0	0	0	0
1612524849	653625781	-0.617343	-0.351312	-0.52503	-0.416745
1612524849	663718125	0	0	0	0
1612524849	673670044	-0.474958	-0.37443	-0.490878	-0.473881
1612524849	683647279	-0.569379	-0.390511	-0.549027	-0.546867
1612524849	693704324	0.557242	0.233703	0.359616	0.313551
1612524849	703658751	1.94298	1.5182	1.82943	1.76558
1612524849	713658515	0.950768	1.1628	1.15941	1.22013
1612524849	723625873	-1.65564	-1.29878	-1.5827	-1.46033
1612524849	733772408	-1.20622	-1.16939	-1.30671	-1.28871
1612524849	743683388	0.390164	-0.055355	0.135077	0.0157346
1612524849	753720712	0	0	0	0
1612524849	763661680	-0.290528	-0.00913797	-0.115566	-0.203005
1612524849	773679039	0.961529	0.85216	0.996014	0.905007
1612524849	783642637	0.845013	1.13206	1.13554	1.10747
1612524849	793576909	-0.438416	0.00557136	-0.162838	-0.059621
1612524849	803655014	-1.49757	-1.24749	-1.44546	-1.39093
1612524849	813720592	-0.165351	-0.967361	-0.646733	-0.748338
1612524849	823633413	0.166225	0.0310225	0.146898	0.052119
1612524849	833688382	0.979407	0.710421	0.949106	0.873486
1612524849	843658133	0	0	0	0
1612524849	853724374	-0.145444	0.296641	0.124812	0.170651
1612524849	863677756	0.36256	0.318197	0.394743	0.410749
1612524849	873645782	-0.899369	-0.495273	-0.751033	-0.653803
1612524849	883647482	-1.44622	-1.537	-1.68828	-1.63538
1612524849	893665772	0.362297	-0.328375	-0.0772349	-0.140493
1612524849	903729080	0.571582	0.435864	0.538123	0.493222
1612524849	913829228	2.26136	2.14128	2.39892	2.30306
1612524849	923809981	-0.582875	0.0302739	-0.282679	-0.182487
1612524849	933675636	-0.0556294	-0.291059	-0.186738	-0.189832
1612524849	943666755	-1.47398	-1.15229	-1.43882	-1.41969
1612524849	953676009	0.479786	-0.00100515	0.216024	0.0820208
1612524849	963819412	-0.269605	-0.190681	-0.242824	-0.306154
1612524849	973836497	1.14888	1.53458	1.50733	1.4626
1612524849	983878999	-0.799931	-0.0435409	-0.419705	-0.323345
1612524849	993831930	0.75035	0.0129239	0.410846	0.367216
1612524850	3909331	-1.52216	-1.12065	-1.42713	-1.35367
1612524850	13692732	1.10515	0.142263	0.648926	0.532292
1612524850	23678952	-0.959069	-0.228505	-0.574611	-0.542571
1612524850	33670942	1.47356	0.848713	1.26654	1.21758
1612524850	43674266	-1.22052	-0.307539	-0.766893	-0.633335
1612524850	53652043	1.36364	0.377691	0.94174	0.899536
1612524850	63663029	-1.86245	-1.10161	-1.56929	-1.43183
1612524850	73683654	1.55736	0.587532	1.15576	1.0541
1612524850	83745957	-1.87434	-0.751576	-1.33135	-1.24608
1612524850	93798384	1.72719	1.00391	1.5064	1.37673
1612524850	103691637	-1.89584	-0.71075	-1.30122	-1.23222
1612524850	113688354	1.76769	0.932429	1.50653	1.34616
1612524850	123835718	-1.9799	-0.947813	-1.46117	-1.41332
1612524850	133612584	1.78432	0.871607	1.50456	1.30953
1612524850	143671675	-1.89894	-0.972771	-1.42026	-1.40339
1612524850	153810554	1.77882	0.881305	1.52568	1.30104
1612524850	163785529	-0.402357	-0.0894518	-0.167994	-0.215354
1612524850	173761694	-0.380942	-0.702962	-0.505685	-0.63802
1612524850	183634929	-0.529615	-0.512883	-0.536015	-0.582432
