time_sec	time_nanosec	q_grav_0	q_grav_1	q_grav_2	q_grav_3
1612524850	754866580	15.0147	21.5007	-36.5715	147.632
1612524850	764969061	14.3837	21.0639	-38.5632	150.903
1612524850	774599425	15.0691	21.7116	-36.9296	147.722
1612524850	784727467	14.5264	21.1879	-38.9058	151.002
1612524850	794523643	15.2466	21.6671	-37.2812	147.976
1612524850	804601598	14.778	21.0802	-39.1032	151.124
1612524850	814609594	15.5039	21.4014	-37.448	148.241
1612524850	824569521	15.0975	20.7253	-39.16	151.309
1612524850	834603005	15.8082	20.9401	-37.5672	148.616
1612524850	844851960	15.4262	20.2096	-39.2286	151.639
1612524850	854868355	16.1086	20.4315	-37.6917	149.031
1612524850	864605130	15.7056	19.7343	-39.3191	151.993
1612524850	874680491	16.3604	20.064	-37.7717	149.308
1612524850	884524130	15.9295	19.4582	-39.3706	152.163
1612524850	894598672	16.5622	19.9277	-37.8323	149.369
1612524850	904565055	16.1026	19.4265	-39.415	152.1
1612524850	914642657	16.7154	20.0454	-37.8945	149.18
1612524850	924541440	16.2024	19.6506	-39.4753	151.834
1612524850	934900572	16.7935	20.3933	-37.9284	148.773
1612524850	944825630	16.4433	20.0782	-38.9412	150.542
1612524850	954700262	16.6436	20.9049	-37.8598	148.405
1612524850	964788648	16.0457	20.7288	-38.8114	150.231
1612524850	974633203	15.9987	21.0734	-38.1471	149.246
1612524850	984583459	16.0231	21.7132	-37.4641	147.462
1612524850	994572718	15.5265	22.2036	-37.4578	147.402
1612524851	4592322	15.1769	22.7228	-36.2961	146.085
1612524851	14596205	14.028	21.9635	-36.5311	148.392
1612524851	24614413	13.5146	21.3713	-35.1178	147.95
1612524851	34538603	12.6445	20.1327	-35.8099	150.607
1612524851	44717229	12.5302	19.9105	-34.3179	149.108
1612524851	54636655	11.688	18.9911	-35.3851	151.898
1612524851	64877744	11.6319	19.1077	-33.549	149.91
1612524851	74691863	10.7046	18.0638	-34.63	153.202
1612524851	84589955	10.7545	17.7996	-32.8333	151.475
1612524851	94940859	10.1531	16.6682	-34.257	154.744
1612524851	104908591	10.5323	16.6992	-32.7736	152.589
1612524851	114821452	10.1515	16.0422	-34.3303	155.367
1612524851	124775232	10.7615	16.5538	-32.6479	152.405
1612524851	134780282	10.5162	16.2904	-34.2716	154.878
1612524851	144626909	11.269	16.9366	-32.6964	151.781
1612524851	154583897	11.1218	16.6519	-34.49	154.346
1612524851	165000642	11.9468	17.1811	-33.1743	151.531
1612524851	174657071	11.878	16.7806	-35.1188	154.217
1612524851	184641936	12.7851	17.3614	-33.9659	151.42
1612524851	194637125	12.7888	17.0572	-35.9515	153.97
1612524851	204516508	13.2324	17.3334	-35.7849	153.144
1612524851	214584463	14.3287	18.1684	-35.8837	151.092
1612524851	224519243	14.7561	18.9436	-36.6838	150.754
1612524851	234743312	15.417	20.058	-36.3952	148.787
1612524851	244555711	15.2872	20.2085	-37.5704	150.233
1612524851	254545688	15.735	20.7173	-36.909	148.617
1612524851	264537804	15.6413	20.5923	-38.0798	149.985
1612524851	274881749	16.153	21.4487	-37.0649	147.331
1612524851	284540702	15.6997	21.4373	-38.5061	149.203
1612524851	294889799	16.0282	22.4482	-36.9803	146.26
1612524851	304841597	15.09	21.8926	-38.4382	149.42
1612524851	314907056	15.3339	22.2586	-36.67	146.888
1612524851	324887649	14.5492	21.3983	-38.2576	150.196
1612524851	334842919	14.8883	21.5693	-36.668	147.783
1612524851	344591606	14.105	20.725	-38.3473	151.196
1612524851	354892380	14.539	21.0597	-36.4969	148.342
1612524851	364493224	13.8132	20.3735	-38.2193	151.706
1612524851	374590046	14.3623	20.792	-36.3741	148.698
1612524851	384570254	13.7751	20.1283	-38.1991	152.033
1612524851	394637669	14.4128	20.457	-36.5227	149.196
1612524851	404657164	13.9327	19.7414	-38.3818	152.517
1612524851	414573566	14.623	19.9875	-36.8061	149.82
1612524851	424617147	14.2765	19.3232	-38.5404	152.823
1612524851	434539340	15.0236	19.6645	-37.0291	150.055
1612524851	444598282	14.765	19.1507	-38.692	152.742
1612524851	454738323	15.5602	19.6791	-37.1885	149.774
1612524851	464653989	15.3068	19.368	-38.2207	151.494
1612524851	474643663	15.5922	19.4689	-38.5285	151.609
1612524851	484653000	16.0426	20.1187	-37.7385	149.72
1612524851	494930358	16.6032	21.0731	-36.9222	147.141
1612524851	504663344	16.2692	21.6932	-37.6304	147.608
1612524851	514679405	16.1798	22.1793	-37.108	146.735
1612524851	524493272	15.4467	21.7767	-37.5167	148.407
1612524851	534865738	15.229	21.6791	-36.3817	147.428
1612524851	544606774	14.4664	20.9686	-37.0818	149.478
1612524851	554569159	14.4181	21.2744	-35.4157	147.274
1612524851	564559811	13.3589	20.4513	-36.5438	150.289
1612524851	574545540	13.2857	20.6696	-34.6144	148.05
1612524851	584646215	12.1271	19.5851	-35.9687	151.831
1612524851	594809524	12.134	19.4023	-34.0361	149.836
1612524851	604865463	11.2153	18.1605	-35.62	153.682
1612524851	614596074	11.4186	18.04	-33.9681	151.642
1612524851	624552395	10.7363	17.1492	-35.5028	154.9
1612524851	634728359	11.1535	17.4496	-33.7155	152.175
1612524851	644595899	10.6588	16.9591	-35.2479	154.97
