time_sec	time_nanosec	ang_ots_0	ang_ots_1	ang_ots_2	ang_ots_3	ang_ots_4	ang_ots_5
1614784200	242776114	113.049	69.6174	62.2775	43.432	50.7719	7.33988
1614784200	252761142	113.047	69.6161	62.2764	43.431	50.7708	7.33976
1614784200	262633520	113.048	69.617	62.2773	43.431	50.7707	7.33962
1614784200	272782867	113.047	69.6159	62.2765	43.4311	50.7705	7.33942
1614784200	282691991	113.049	69.6166	62.2768	43.4325	50.7722	7.33975
1614784200	292762942	113.048	69.6161	62.2765	43.4317	50.7714	7.33967
1614784200	302826137	113.049	69.6097	62.2719	43.4388	50.7766	7.33778
1614784200	312725208	113.048	69.6182	62.2784	43.43	50.7698	7.3398
1614784200	322708176	113.047	69.6157	62.2765	43.431	50.7702	7.33921
1614784200	332815664	113.047	69.6152	62.2757	43.4313	50.7708	7.33949
1614784200	342727435	113.048	69.6146	62.2754	43.4334	50.7726	7.33919
1614784200	352697028	113.049	69.6168	62.2772	43.4327	50.7722	7.33957
1614784200	362798303	113.052	69.6179	62.2779	43.434	50.774	7.34005
1614784200	372810535	113.049	69.6149	62.2753	43.4345	50.774	7.33953
1614784200	382740254	113.05	69.6165	62.2771	43.4338	50.7733	7.33943
1614784200	392785793	113.049	69.6153	62.2761	43.4341	50.7733	7.33923
1614784200	402736206	113.049	69.6175	62.2775	43.4312	50.7712	7.33991
1614784200	413215727	113.05	69.6183	62.2782	43.4321	50.7722	7.34014
1614784200	423174458	113.048	69.6153	62.2761	43.433	50.7722	7.33923
1614784200	432968697	113.049	69.6178	62.2777	43.4308	50.7709	7.34014
1614784200	442663409	113.048	69.615	62.2759	43.4335	50.7725	7.33905
1614784200	452737779	113.049	69.6145	62.2751	43.4346	50.774	7.33944
1614784200	463172669	113.047	69.6158	62.2762	43.4311	50.7708	7.33968
1614784200	472994206	113.049	69.6159	62.2764	43.4329	50.7724	7.33948
1614784200	483103719	113.049	69.612	62.2737	43.4371	50.7754	7.33829
1614784200	493118918	113.05	69.6167	62.2773	43.4329	50.7723	7.3394
1614784200	503250220	113.048	69.6149	62.2754	43.4326	50.7721	7.33952
1614784200	512744059	113.048	69.6138	62.2747	43.4338	50.7728	7.33908
1614784200	522737213	113.05	69.6115	62.2727	43.439	50.7778	7.33881
1614784200	532734477	113.048	69.6183	62.2784	43.4299	50.7698	7.3399
1614784200	542757638	113.051	69.6161	62.2767	43.4347	50.7742	7.33945
1614784200	552640722	113.05	69.6177	62.2781	43.4325	50.7722	7.33962
1614784200	563141968	113.052	69.6157	62.2764	43.4364	50.7757	7.3393
1614784200	573264323	113.05	69.6159	62.276	43.4344	50.7743	7.33991
1614784200	582725128	113.046	69.6149	62.2761	43.4309	50.7697	7.33881
1614784200	592664156	113.047	69.6157	62.2769	43.4311	50.7698	7.33876
1614784200	602741824	113.048	69.617	62.2777	43.4305	50.7699	7.33938
1614784200	612787716	113.047	69.617	62.2781	43.4303	50.7692	7.3389
1614784200	622740892	113.047	69.6145	62.276	43.4322	50.7707	7.33854
1614784200	632725479	113.048	69.6166	62.2775	43.4313	50.7704	7.33913
1614784200	642756702	113.047	69.6157	62.2768	43.431	50.7699	7.33889
1614784200	652654360	113.043	69.6137	62.2752	43.4293	50.7679	7.33857
1614784200	662826699	113.046	69.6179	62.2785	43.4285	50.7679	7.3394
1614784200	672670981	113.046	69.6175	62.2783	43.4281	50.7674	7.33927
1614784200	682758169	113.045	69.6172	62.2782	43.4277	50.7667	7.33907
1614784200	692818746	113.045	69.6163	62.2775	43.4287	50.7676	7.33881
1614784200	702743302	113.047	69.6151	62.2766	43.4321	50.7706	7.33853
1614784200	713241141	113.044	69.6131	62.2749	43.4314	50.7696	7.33822
1614784200	723280920	113.044	69.6154	62.277	43.429	50.7674	7.33847
1614784200	732685558	113.046	69.618	62.2784	43.4279	50.7675	7.3396
1614784200	742712034	113.047	69.6158	62.2769	43.4312	50.7701	7.33891
1614784200	752674987	113.045	69.6157	62.277	43.4293	50.768	7.33871
1614784200	762802532	113.044	69.6167	62.2778	43.4268	50.7657	7.33892
1614784200	772660864	113.047	69.6178	62.2785	43.4287	50.768	7.33928
1614784200	783102916	113.045	69.6175	62.2782	43.4276	50.767	7.33937
1614784200	792803496	113.046	69.6175	62.2784	43.4283	50.7674	7.3391
1614784200	802722112	113.05	69.6178	62.2781	43.4324	50.7721	7.33968
1614784200	812745987	113.05	69.6172	62.2775	43.4326	50.7724	7.33978
1614784200	822775207	113.048	69.6166	62.2773	43.4315	50.7708	7.33935
1614784200	832663827	113.046	69.6157	62.276	43.4308	50.7704	7.33967
1614784200	842673206	113.05	69.6139	62.275	43.4362	50.7751	7.33887
1614784200	852745631	113.049	69.6159	62.2766	43.4327	50.772	7.3393
1614784200	862665475	113.049	69.6176	62.2778	43.4315	50.7712	7.33973
1614784200	872723910	113.049	69.6172	62.2775	43.4321	50.7718	7.33968
1614784200	882730300	113.049	69.6169	62.2772	43.4323	50.772	7.33969
1614784200	892837643	113.048	69.6163	62.2767	43.4316	50.7712	7.33959
1614784200	902673433	113.05	69.6158	62.2761	43.4346	50.7744	7.33975
1614784200	912737227	113.05	69.6163	62.2768	43.4339	50.7734	7.33945
1614784200	922681505	113.051	69.6174	62.2778	43.4331	50.7727	7.33962
1614784200	932751943	113.05	69.6167	62.2771	43.4336	50.7732	7.33957
1614784200	942804041	113.049	69.6178	62.278	43.4317	50.7715	7.33976
1614784200	952700529	113.048	69.617	62.2773	43.4314	50.7711	7.33969
1614784200	963171080	113.049	69.6177	62.278	43.4308	50.7705	7.33969
1614784200	972941173	113.05	69.6159	62.2765	43.434	50.7734	7.33941
1614784200	983100147	113.047	69.6165	62.2771	43.4303	50.7697	7.33939
1614784200	993215440	113.051	69.6178	62.2782	43.4327	50.7724	7.33962
1614784201	3234197	113.047	69.6162	62.2767	43.4311	50.7706	7.33947
1614784201	12733254	113.05	69.6176	62.2779	43.4321	50.7718	7.33967
1614784201	22700967	113.047	69.6166	62.2776	43.43	50.7689	7.33893
1614784201	32812757	113.048	69.6168	62.2773	43.4312	50.7707	7.33954
1614784201	42759978	113.05	69.6162	62.2767	43.4339	50.7733	7.33948
1614784201	52683897	113.049	69.6173	62.2778	43.4316	50.7712	7.33952
1614784201	62756514	113.05	69.6172	62.2775	43.4332	50.7729	7.3397
1614784201	72742992	113.051	69.6187	62.2787	43.4321	50.7721	7.34
1614784201	82736274	113.048	69.6171	62.2778	43.4307	50.7701	7.33938
1614784201	92745150	113.051	69.6177	62.278	43.4331	50.7728	7.33973
1614784201	102669862	113.051	69.6143	62.2755	43.4365	50.7754	7.33885
1614784201	112790862	113.047	69.6169	62.2775	43.4304	50.7698	7.33941
1614784201	123092583	113.051	69.6187	62.2789	43.4323	50.7721	7.33976
1614784201	132720066	113.049	69.6164	62.2767	43.4324	50.7721	7.33961
1614784201	142295327	113.049	69.6164	62.2767	43.4324	50.7721	7.33961
1614784201	152958136	113.05	69.6188	62.2789	43.431	50.7709	7.33988
1614784201	162834953	113.05	69.6186	62.2789	43.4314	50.7712	7.33975
1614784201	172663677	113.05	69.6189	62.2791	43.4316	50.7714	7.33978
1614784201	183163655	113.05	69.6165	62.277	43.4332	50.7727	7.33951
1614784201	192755830	113.052	69.619	62.2787	43.4328	50.7731	7.34035
1614784201	202759071	113.051	69.6182	62.278	43.4327	50.7729	7.34017
1614784201	212711444	113.05	69.6162	62.2768	43.4338	50.7732	7.33944
1614784201	222798472	113.051	69.6173	62.2775	43.4332	50.7731	7.33987
1614784201	232735233	113.05	69.6173	62.2776	43.4328	50.7725	7.33971
1614784201	242642963	113.051	69.6192	62.2793	43.4316	50.7715	7.33991
1614784201	252750855	113.052	69.6182	62.2782	43.4342	50.7741	7.33996
1614784201	262697354	113.05	69.619	62.2788	43.4314	50.7716	7.3402
1614784201	273161484	113.051	69.619	62.2789	43.4322	50.7723	7.34011
1614784201	282763897	113.05	69.6179	62.2781	43.4317	50.7714	7.33973
1614784201	292772072	113.05	69.6181	62.2784	43.4318	50.7715	7.33967
1614784201	302611832	113.049	69.6162	62.2769	43.4327	50.772	7.33931
1614784201	312722829	113.05	69.6183	62.2783	43.4318	50.7717	7.33994
1614784201	322723075	113.051	69.6193	62.2794	43.4318	50.7718	7.33997
1614784201	332687984	113.049	69.6164	62.2768	43.4329	50.7726	7.33962
1614784201	342805692	113.049	69.6184	62.2784	43.4307	50.7707	7.34001
1614784201	352653630	113.05	69.6171	62.2776	43.4327	50.7722	7.33948
1614784201	362707179	113.051	69.6176	62.2777	43.4332	50.7731	7.3399
1614784201	372779781	113.05	69.6174	62.2777	43.4328	50.7725	7.33969
1614784201	382780008	113.049	69.6161	62.2768	43.4326	50.7719	7.33937
1614784201	392741493	113.049	69.6174	62.2776	43.4317	50.7715	7.33978
1614784201	402728441	113.052	69.6192	62.2791	43.4326	50.7727	7.34009
1614784201	412789820	113.048	69.6191	62.2789	43.4292	50.7693	7.34015
1614784201	422688307	113.051	69.6201	62.2793	43.4309	50.7717	7.3408
1614784201	432767302	113.05	69.6192	62.2793	43.431	50.7709	7.33995
1614784201	442698890	113.052	69.6189	62.279	43.433	50.7729	7.33989
1614784201	452747699	113.051	69.6164	62.277	43.4343	50.7736	7.33938
1614784201	462843282	113.05	69.6166	62.2771	43.4331	50.7726	7.33949
