time_sec	time_nanosec	jac_det
1616424697	74921220	0.0243024
1616424697	84730064	0.0242926
1616424697	94827081	0.0242832
1616424697	104886566	0.0242745
1616424697	114760877	0.0242491
1616424697	127493438	0.0242425
1616424697	134766877	0.0242325
1616424697	144906704	0.0242239
1616424697	154793493	0.0242092
1616424697	164809494	0.0241914
1616424697	174722627	0.0241836
1616424697	184736951	0.02417
1616424697	194916791	0.0241623
1616424697	204811431	0.0241533
1616424697	214949508	0.0241392
1616424697	224897570	0.0241305
1616424697	234785931	0.0241255
1616424697	244836899	0.0241131
1616424697	256960812	0.0240916
1616424697	264885225	0.024083
1616424697	274749263	0.0240794
1616424697	286649923	0.0240665
1616424697	294990866	0.0240461
1616424697	304776352	0.0240273
1616424697	314905372	0.0240168
1616424697	324868511	0.0240149
1616424697	334829283	0.0240029
1616424697	344851582	0.0239888
1616424697	354822333	0.02398
1616424697	364842403	0.0239716
1616424697	376797470	0.0239562
1616424697	384869096	0.023952
1616424697	394934861	0.0239403
1616424697	405103539	0.0239201
1616424697	414815349	0.0239101
1616424697	424740473	0.0238972
1616424697	434858970	0.0238849
1616424697	444979256	0.0238774
1616424697	454858728	0.0238512
1616424697	464802459	0.0238353
1616424697	474896576	0.0238286
1616424697	484831775	0.023819
1616424697	494849653	0.023804
1616424697	504973326	0.0237856
1616424697	514924103	0.0237787
1616424697	524731440	0.0237659
1616424697	534818607	0.0237412
1616424697	544905582	0.0237316
1616424697	554852778	0.0237174
1616424697	564882841	0.0237128
1616424697	574809648	0.0237016
1616424697	584894143	0.0236953
1616424697	594992213	0.0236857
1616424697	604772662	0.023653
1616424697	614995339	0.0236476
1616424697	625049661	0.0236507
1616424697	636903464	0.0236616
1616424697	644996441	0.0236959
1616424697	654728532	0.0237894
1616424697	664847392	0.0238498
1616424697	674857701	0.0238965
1616424697	687306741	0.0239365
1616424697	697198580	0.023956
1616424697	704942848	0.0240114
1616424697	714911799	0.0240364
1616424697	724844888	0.0240467
1616424697	734735585	0.0240232
1616424697	744817382	0.0239943
1616424697	755075427	0.0239113
1616424697	764922368	0.0238732
1616424697	774806070	0.0238342
1616424697	784873045	0.0237952
1616424697	794947350	0.0237544
1616424697	804949410	0.0236495
1616424697	816943525	0.0236015
1616424697	824958521	0.023561
1616424697	834912862	0.023525
1616424697	844891541	0.0234986
1616424697	854901805	0.0234695
1616424697	864995732	0.0234284
1616424697	874961496	0.0234158
1616424697	886698258	0.0234083
1616424697	894852793	0.0233992
1616424697	904913688	0.0233894
1616424697	914807502	0.0233846
1616424697	924830314	0.0233868
1616424697	934877332	0.0233825
1616424697	944975202	0.0233895
1616424697	954879365	0.0233782
1616424697	964900654	0.0233731
1616424697	974864171	0.0233731
1616424697	984830850	0.0233727
1616424697	994862884	0.0233717
1616424698	4860551	0.0233668
1616424698	14787696	0.0233412
1616424698	24756541	0.0233288
1616424698	34900833	0.0233154
1616424698	45123429	0.0233142
1616424698	56621313	0.0233141
1616424698	64867235	0.0232723
1616424698	74949479	0.0232545
1616424698	84763542	0.0232337
1616424698	96667095	0.0232178
1616424698	104936175	0.0232029
1616424698	114790108	0.0231999
1616424698	125138087	0.0231918
1616424698	134914647	0.0231917
1616424698	144885078	0.023188
1616424698	154875560	0.0232085
1616424698	164759764	0.0232179
1616424698	174818802	0.0232315
1616424698	184904193	0.0232378
1616424698	194883472	0.0232488
1616424698	204759832	0.0232636
1616424698	214855702	0.0232621
1616424698	224934202	0.02325
1616424698	234788131	0.0232449
